,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,Unnamed: 9
0,110/01/04,"39,489,959","21,127,581,248",530.0,540.0,528.0,536.0,6.0,"33,316",
1,110/01/05,"34,839,391","18,761,831,567",536.0,542.0,535.0,542.0,6.0,"28,512",
2,110/01/06,"55,614,434","30,572,783,229",555.0,555.0,541.0,549.0,7.0,"55,462",
3,110/01/07,"53,392,763","30,018,630,685",554.0,570.0,553.0,565.0,16.0,"47,905",
4,110/01/08,"62,957,148","36,339,702,855",580.0,580.0,571.0,580.0,15.0,"56,426",
5,110/01/11,"52,771,778","30,535,694,908",577.0,584.0,574.0,584.0,4.0,"49,539",
6,110/01/12,"52,605,212","30,958,142,918",583.0,597.0,582.0,591.0,7.0,"59,595",
7,110/01/13,"75,707,681","45,419,255,149",595.0,605.0,593.0,605.0,14.0,"59,966",
8,110/01/14,"90,309,708","53,477,747,672",587.0,597.0,587.0,592.0,-13.0,"111,849",
9,110/01/15,"100,998,199","61,876,473,170",621.0,625.0,601.0,601.0,9.0,"105,961",
10,110/01/18,"50,388,664","30,406,611,574",608.0,608.0,594.0,607.0,6.0,"49,008",
11,110/01/19,"52,947,466","32,934,404,720",618.0,632.0,613.0,627.0,20.0,"55,490",
12,110/01/20,"95,484,470","61,279,319,857",633.0,650.0,631.0,647.0,20.0,"95,577",
13,110/01/21,"97,590,371","64,624,578,866",640.0,679.0,640.0,673.0,26.0,"115,004",
14,110/01/22,"134,238,314","88,023,707,664",649.0,665.0,649.0,649.0,-24.0,"235,186",
15,110/01/25,"98,608,285","62,583,576,696",642.0,646.0,626.0,633.0,-16.0,"154,134",
16,110/01/26,"114,797,609","71,638,808,826",632.0,640.0,610.0,617.0,-16.0,"177,764",
17,110/01/27,"72,823,691","44,931,754,892",618.0,625.0,611.0,615.0,-2.0,"77,274",
18,110/01/28,"104,181,514","62,647,021,616",600.0,608.0,598.0,601.0,-14.0,"157,835",
19,110/01/29,"96,875,889","58,399,782,288",619.0,619.0,591.0,591.0,-10.0,"129,394",
